,Iteration,Day,Iteration total cost,Cash flow
906,0,906,-2578016,-4824
907,0,907,-2582840,-4824
908,0,908,-2587664,-4824
909,0,909,-2592488,-4824
910,0,910,-2597312,-4824
911,0,911,-2602136,-4824
912,0,912,-2606960,-4824
913,0,913,-2611784,-4824
914,0,914,-2616608,-4824
915,0,915,-2621432,-4824
916,0,916,-2626256,-4824
917,0,917,-2631080,-4824
918,0,918,-2635904,-4824
919,0,919,-2640728,-4824
920,0,920,-2645552,-4824
921,0,921,-2650376,-4824
922,0,922,-2655200,-4824
923,0,923,-2660024,-4824
924,0,924,-2664848,-4824
925,0,925,-2669672,-4824
926,0,926,-2674496,-4824
927,0,927,-2679320,-4824
928,0,928,-2684144,-4824
929,0,929,-2688968,-4824
930,0,930,-2693792,-4824
931,0,931,-2698616,-4824
932,0,932,-2703440,-4824
933,0,933,-2708264,-4824
934,0,934,-2713088,-4824
935,0,935,-2717912,-4824
936,0,936,-2722736,-4824
937,0,937,-2727560,-4824
938,0,938,-2732384,-4824
939,0,939,-2737208,-4824
940,0,940,-2742032,-4824
941,0,941,-2746856,-4824
942,0,942,-2751680,-4824
943,0,943,-2756504,-4824
944,0,944,-2761328,-4824
945,0,945,-2766152,-4824
946,0,946,-2770976,-4824
947,0,947,-2775800,-4824
948,0,948,-2780624,-4824
949,0,949,-2785448,-4824
950,0,950,-2790272,-4824
951,0,951,-2795096,-4824
952,0,952,-2799920,-4824
953,0,953,-2804744,-4824
954,0,954,-2809568,-4824
955,0,955,-2814392,-4824
956,0,956,-2819216,-4824
957,0,957,-2824040,-4824
958,0,958,-2828864,-4824
959,0,959,-2833688,-4824
960,0,960,-2838512,-4824
961,0,961,-2843336,-4824
962,0,962,-2848160,-4824
963,0,963,-2852984,-4824
964,0,964,-2857808,-4824
